model,fold,cm_00,cm_01,cm_10,cm_11
Classical_orig,0,7,21,21,37
Classical_orig,1,14,14,19,38
Classical_orig,2,13,15,23,35
Classical_orig,3,10,18,18,39
Classical_orig,4,12,16,32,26
Classical_orig,5,14,14,28,29
Q_1body,0,9,19,16,42
Q_1body,1,17,11,15,42
Q_1body,2,9,19,21,37
Q_1body,3,10,18,16,41
Q_1body,4,10,18,16,42
Q_1body,5,8,20,15,42
Q_2body,0,7,21,14,44
Q_2body,1,12,16,14,43
Q_2body,2,11,17,14,44
Q_2body,3,8,20,15,42
Q_2body,4,16,12,20,38
Q_2body,5,11,17,11,46
SHAP50,0,0,28,4,54
SHAP50,1,0,28,5,52
SHAP50,2,8,20,6,52
SHAP50,3,1,27,8,49
SHAP50,4,4,24,4,54
SHAP50,5,4,24,5,52
