model,fold,cm_00,cm_01,cm_10,cm_11
Classical_orig,0,8,20,20,38
Classical_orig,1,12,16,21,36
Classical_orig,2,8,20,24,34
Classical_orig,3,13,15,15,42
Classical_orig,4,10,18,23,35
Classical_orig,5,10,18,28,29
Q_1body,0,8,20,17,41
Q_1body,1,13,15,18,39
Q_1body,2,12,16,22,36
Q_1body,3,15,13,20,37
Q_1body,4,8,20,16,42
Q_1body,5,10,18,19,38
Q_2body,0,9,19,15,43
Q_2body,1,10,18,15,42
Q_2body,2,13,15,15,43
Q_2body,3,10,18,16,41
Q_2body,4,13,15,19,39
Q_2body,5,13,15,11,46
SHAP50,0,4,24,7,51
SHAP50,1,1,27,0,57
SHAP50,2,1,27,7,51
SHAP50,3,0,28,3,54
SHAP50,4,8,20,5,53
SHAP50,5,2,26,2,55
